Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Cities,,,,,,
FDC38,15.7,Low Fat,0.122742389,Canned,134.2942,OUT045,2002,Medium,Tier 2,Supermarket Type1,1192.4478,Indore,,,,,,
FDD04,16,Low Fat,0.089971292,Dairy,143.2154,OUT046,1997,Small,Tier 1,Supermarket Type1,1701.7848,Mumbai,,,,,,
FDC05,13.1,Regular,0.099186992,Frozen Foods,198.7768,OUT018,2009,Medium,Tier 3,Supermarket Type2,3153.2288,Yamunanagar,,,,,,
DRJ59,12.6,Low Fat,0.053930934,Hard Drinks,39.0164,OUT027,1985,Medium,Tier 3,Supermarket Type3,1042.6428,Varanasi,,,,,,
FDL22,16.85,Low Fat,0.036596012,Snack Foods,90.6488,OUT017,2007,Medium,Tier 2,Supermarket Type1,633.8416,Lucknow,,,,,,
DRH13,12.6,Low Fat,0.041821227,Soft Drinks,107.628,OUT019,1985,Small,Tier 1,Grocery Store,213.056,Bangalore,,,,,,
FDV22,14.85,Regular,0.016635488,Snack Foods,157.563,OUT010,1998,Medium,Tier 3,Grocery Store,312.926,Yamunanagar,,,,,,
FDP07,18.2,Low Fat,0.090084098,Fruits and Vegetables,197.211,OUT045,2002,Medium,Tier 2,Supermarket Type1,3142.576,Nagpur,,,,,,
FDK27,11,Low Fat,0.008960445,Meat,119.1756,OUT049,1999,Medium,Tier 1,Supermarket Type1,1696.4584,Kolkata,,,,,,
FDP31,21.1,Regular,0.162418495,Fruits and Vegetables,64.9168,OUT017,2007,Medium,Tier 2,Supermarket Type1,639.168,Ahmedabad,,,,,,
NCI54,15.2,Low Fat,0.056237906,Household,110.7912,OUT010,1998,Medium,Tier 3,Grocery Store,109.1912,Bhopal,,,,,,
DRK35,12.6,Low Fat,0.071498575,Hard Drinks,37.7506,OUT027,1985,Medium,Tier 3,Supermarket Type3,796.9626,Yamunanagar,,,,,,
NCO07,9.06,Low Fat,0.009791467,Others,213.256,OUT049,1999,Medium,Tier 1,Supermarket Type1,4687.232,Hyderabad,,,,,,
FDN31,11.5,Low Fat,0.072820885,Fruits and Vegetables,191.253,OUT013,1987,High,Tier 3,Supermarket Type1,3036.048,Varanasi,,,,,,
NCO02,11.15,Low Fat,0.073354286,Others,66.8142,OUT035,2004,Small,Tier 2,Supermarket Type1,2372.9112,Ahmedabad,,,,,,
FDQ26,13.5,Regular,0.068010049,Dairy,57.2562,OUT045,2002,Medium,Tier 2,Supermarket Type1,770.3306,Ahmedabad,,,,,,
FDQ07,15.1,Regular,0.087406863,Fruits and Vegetables,221.8456,OUT046,1997,Small,Tier 1,Supermarket Type1,663.1368,Bangalore,,,,,,
FDB49,8.3,Regular,0.030198228,Baking Goods,98.2384,OUT049,1999,Medium,Tier 1,Supermarket Type1,2167.8448,Bangalore,,,,,,
FDY44,14.15,Regular,0.024442501,Fruits and Vegetables,196.411,OUT049,1999,Medium,Tier 1,Supermarket Type1,2749.754,Chennai,,,,,,
NCI54,12.6,Low Fat,0.033436336,Household,107.3912,OUT027,1985,Medium,Tier 3,Supermarket Type3,3057.3536,Yamunanagar,,,,,,
FDV44,8.365,Regular,0.039844429,Fruits and Vegetables,190.1188,OUT046,1997,Small,Tier 1,Supermarket Type1,1904.188,Chennai,,,,,,
FDI48,11.85,Regular,0.055805027,Baking Goods,53.0666,OUT049,1999,Medium,Tier 1,Supermarket Type1,512.666,Chennai,,,,,,
NCL05,19.6,Low Fat,0.047888606,Health and Hygiene,42.277,OUT035,2004,Small,Tier 2,Supermarket Type1,605.878,Nagpur,,,,,,
FDT32,19,Regular,0.065735977,Fruits and Vegetables,189.6214,OUT049,1999,Medium,Tier 1,Supermarket Type1,2826.321,Mumbai,,,,,,
FDM10,18.25,Low Fat,0.076089711,Snack Foods,212.9218,OUT049,1999,Medium,Tier 1,Supermarket Type1,3846.9924,Bangalore,,,,,,
FDS21,19.85,Regular,0.020908608,Snack Foods,63.5194,OUT049,1999,Medium,Tier 1,Supermarket Type1,557.2746,Chennai,,,,,,
FDD11,12.85,Low Fat,0.030678825,Starchy Foods,251.704,OUT045,2002,Medium,Tier 2,Supermarket Type1,3542.056,Lucknow,,,,,,
FDL04,12.6,Low Fat,0.111381428,Frozen Foods,106.7622,OUT027,1985,Medium,Tier 3,Supermarket Type3,2964.1416,Meerut,,,,,,
FDO58,19.6,Low Fat,0.039738393,Snack Foods,163.7526,OUT018,2009,Medium,Tier 3,Supermarket Type2,2960.1468,Ranchi,,,,,,
FDQ08,15.7,Regular,0.01903743,Fruits and Vegetables,60.5536,OUT017,2007,Medium,Tier 2,Supermarket Type1,490.0288,Jaipur,,,,,,
FDT28,13.3,Low Fat,0.06356617,Frozen Foods,151.3708,OUT046,1997,Small,Tier 1,Supermarket Type1,3611.2992,Mumbai,,,,,,
FDT22,10.395,Low Fat,0.112553853,Snack Foods,59.022,OUT018,2009,Medium,Tier 3,Supermarket Type2,1378.206,Meerut,,,,,,
FDB58,10.5,Regular,0.013493914,Snack Foods,143.7154,OUT035,2004,Small,Tier 2,Supermarket Type1,3119.9388,Ahmedabad,,,,,,
FDN45,19.35,Low Fat,0.118102769,Snack Foods,224.8088,OUT046,1997,Small,Tier 1,Supermarket Type1,2013.3792,Bangalore,,,,,,
FDZ45,14.1,Low Fat,0.06682033,Snack Foods,198.9084,OUT013,1987,High,Tier 3,Supermarket Type1,4761.8016,Guwahati,,,,,,
FDJ38,8.6,Regular,0.040205535,Canned,188.753,OUT046,1997,Small,Tier 1,Supermarket Type1,7590.12,Delhi,,,,,,
NCT06,17.1,Low Fat,0.038816115,Household,166.4842,OUT045,2002,Medium,Tier 2,Supermarket Type1,1326.2736,Chandigarh,,,,,,
FDU21,12.6,Regular,0.076348933,Snack Foods,32.8558,OUT027,1985,Medium,Tier 3,Supermarket Type3,713.0718,Guwahati,,,,,,
NCP30,20.5,Low Fat,0.032819637,Household,38.9822,OUT049,1999,Medium,Tier 1,Supermarket Type1,982.055,Mumbai,,,,,,
FDR27,15.1,Regular,0.096249842,Meat,134.4942,OUT049,1999,Medium,Tier 1,Supermarket Type1,2119.9072,Delhi,,,,,,
FDW39,6.69,Regular,0.053930934,Meat,176.937,OUT017,2007,Medium,Tier 2,Supermarket Type1,4234.488,Jaipur,,,,,,
DRZ24,12.6,Low Fat,0.053930934,Soft Drinks,121.044,OUT027,1985,Medium,Tier 3,Supermarket Type3,2396.88,Yamunanagar,,,,,,
FDK21,7.905,Low Fat,0.010003987,Snack Foods,250.7408,OUT013,1987,High,Tier 3,Supermarket Type1,5757.8384,Guwahati,,,,,,
FDJ04,18,Low Fat,0.124452048,Frozen Foods,118.5124,OUT046,1997,Small,Tier 1,Supermarket Type1,1303.6364,Mumbai,,,,,,
FDZ13,7.84,Regular,0.154363209,Canned,50.835,OUT017,2007,Medium,Tier 2,Supermarket Type1,599.22,Nagpur,,,,,,
FDS16,15.15,Regular,0.066551268,Frozen Foods,144.676,OUT017,2007,Medium,Tier 2,Supermarket Type1,3954.852,Lucknow,,,,,,
FDD56,15.2,Regular,0.173703549,Fruits and Vegetables,175.8054,OUT010,1998,Medium,Tier 3,Grocery Store,1050.6324,Yamunanagar,,,,,,
FDI57,19.85,Low Fat,0.054025644,Seafood,197.2768,OUT046,1997,Small,Tier 1,Supermarket Type1,6503.5344,Hyderabad,,,,,,
FDQ12,12.6,Low Fat,0.03523927,Baking Goods,231.601,OUT027,1985,Medium,Tier 3,Supermarket Type3,5972.226,Varanasi,,,,,,
FDI56,7.325,Low Fat,0.093385381,Fruits and Vegetables,91.3146,OUT046,1997,Small,Tier 1,Supermarket Type1,1641.8628,Bangalore,,,,,,
NCT42,5.88,Low Fat,0.024937792,Household,148.4392,OUT045,2002,Medium,Tier 2,Supermarket Type1,2087.9488,Surat,,,,,,
FDM25,10.695,Regular,0.060654268,Breakfast,174.7712,OUT035,2004,Small,Tier 2,Supermarket Type1,3339.6528,Ahmedabad,,,,,,
DRB25,12.6,Low Fat,0.06912336,Soft Drinks,106.0938,OUT027,1985,Medium,Tier 3,Supermarket Type3,2787.0388,Varanasi,,,,,,
NCY30,20.25,Low Fat,0.025953257,Household,179.5976,OUT046,1997,Small,Tier 1,Supermarket Type1,2535.3664,Pune,,,,,,
FDD44,8.05,Regular,0.07884393,Fruits and Vegetables,257.0646,OUT017,2007,Medium,Tier 2,Supermarket Type1,8760.5964,Chandigarh,,,,,,
FDK45,11.65,Low Fat,0.033851785,Seafood,112.186,OUT035,2004,Small,Tier 2,Supermarket Type1,1018.674,Indore,,,,,,
FDN45,19.35,Low Fat,0.118342285,Snack Foods,222.6088,OUT045,2002,Medium,Tier 2,Supermarket Type1,1789.6704,Nagpur,,,,,,
FDQ09,7.235,Low Fat,0.058121214,Snack Foods,115.8834,OUT035,2004,Small,Tier 2,Supermarket Type1,1382.2008,Ahmedabad,,,,,,
FDC17,12.15,Low Fat,0.015457803,Frozen Foods,209.9928,OUT035,2004,Small,Tier 2,Supermarket Type1,5259.82,Ahmedabad,,,,,,
FDD45,8.615,Low Fat,0.116152226,Fruits and Vegetables,94.1436,OUT013,1987,High,Tier 3,Supermarket Type1,1512.6976,Bhopal,,,,,,
FDD41,6.765,Regular,0.087260103,Frozen Foods,105.0306,OUT046,1997,Small,Tier 1,Supermarket Type1,2090.612,Chennai,,,,,,
FDU46,10.3,Regular,0.0111263,Snack Foods,87.254,OUT046,1997,Small,Tier 1,Supermarket Type1,1211.756,Kolkata,,,,,,
FDO45,13.15,Regular,0.038167453,Snack Foods,89.4856,OUT017,2007,Medium,Tier 2,Supermarket Type1,1230.3984,Chandigarh,,,,,,
FDG41,8.84,Regular,0.076547632,Frozen Foods,109.5228,OUT035,2004,Small,Tier 2,Supermarket Type1,1657.842,Surat,,,,,,
DRC13,8.26,Regular,0.053930934,Soft Drinks,122.573,OUT045,2002,Medium,Tier 2,Supermarket Type1,739.038,Jaipur,,,,,,
FDX50,20.1,Low Fat,0.074931201,Dairy,108.9228,OUT018,2009,Medium,Tier 3,Supermarket Type2,1105.228,Ranchi,,,,,,
FDK56,9.695,Low Fat,0.053930934,Fruits and Vegetables,185.1898,OUT035,2004,Small,Tier 2,Supermarket Type1,2619.2572,Jaipur,,,,,,
NCL18,18.85,Low Fat,0.16758389,Household,194.6136,OUT046,1997,Small,Tier 1,Supermarket Type1,2721.7904,Mumbai,,,,,,
FDN57,18.25,Low Fat,0.054318517,Snack Foods,140.9154,OUT049,1999,Medium,Tier 1,Supermarket Type1,6381.693,Pune,,,,,,
FDX03,12.6,Regular,0.060800116,Meat,44.4744,OUT027,1985,Medium,Tier 3,Supermarket Type3,769.6648,Varanasi,,,,,,
NCU17,5.32,Low Fat,0.053930934,Health and Hygiene,101.7674,OUT013,1987,High,Tier 3,Supermarket Type1,1120.5414,Meerut,,,,,,
FDL14,8.115,Regular,0.032152786,Canned,157.3972,OUT035,2004,Small,Tier 2,Supermarket Type1,1869.5664,Ahmedabad,,,,,,
NCU18,15.1,Low Fat,0.055840055,Household,139.8496,OUT046,1997,Small,Tier 1,Supermarket Type1,1411.496,Pune,,,,,,
NCH43,8.42,Low Fat,0.070968081,Household,215.9192,OUT017,2007,Medium,Tier 2,Supermarket Type1,1941.4728,Jaipur,,,,,,
FDH41,9,Low Fat,0.081996013,Frozen Foods,216.2534,OUT035,2004,Small,Tier 2,Supermarket Type1,4301.068,Ahmedabad,,,,,,
FDS28,8.18,Regular,0.082737261,Frozen Foods,57.3588,OUT018,2009,Medium,Tier 3,Supermarket Type2,343.5528,Varanasi,,,,,,
FDG02,12.6,Low Fat,0.011206632,Canned,191.4188,OUT027,1985,Medium,Tier 3,Supermarket Type3,3998.7948,Meerut,,,,,,
FDS40,15.35,Low Fat,0.014047825,Frozen Foods,36.719,OUT045,2002,Medium,Tier 2,Supermarket Type1,585.904,Nagpur,,,,,,
FDD10,20.6,Regular,0.045982389,Snack Foods,177.0344,OUT013,1987,High,Tier 3,Supermarket Type1,535.3032,Varanasi,,,,,,
DRQ35,9.3,Low Fat,0.042256257,Hard Drinks,124.4388,OUT013,1987,High,Tier 3,Supermarket Type1,1609.9044,Varanasi,,,,,,
NCL05,19.6,Low Fat,0.053930934,Health and Hygiene,42.877,OUT049,1999,Medium,Tier 1,Supermarket Type1,649.155,Pune,,,,,,
FDJ48,11.3,Low Fat,0.056424146,Baking Goods,247.8118,OUT035,2004,Small,Tier 2,Supermarket Type1,2223.1062,Indore,,,,,,
FDV21,12.6,Low Fat,0.170254469,Snack Foods,124.8704,OUT027,1985,Medium,Tier 3,Supermarket Type3,2127.8968,Ranchi,,,,,,
FDJ26,15.3,Regular,0.084749164,Canned,215.5218,OUT035,2004,Small,Tier 2,Supermarket Type1,4060.7142,Indore,,,,,,
NCN05,8.235,Low Fat,0.014541462,Health and Hygiene,184.495,OUT017,2007,Medium,Tier 2,Supermarket Type1,3844.995,Jaipur,,,,,,
FDK09,15.2,Low Fat,0.091763303,Snack Foods,228.5352,OUT046,1997,Small,Tier 1,Supermarket Type1,1832.2816,Kolkata,,,,,,
FDM56,12.6,Low Fat,0.069851683,Fruits and Vegetables,110.9912,OUT027,1985,Medium,Tier 3,Supermarket Type3,1310.2944,Patna,,,,,,
DRF25,9,Low Fat,0.039004193,Soft Drinks,37.019,OUT045,2002,Medium,Tier 2,Supermarket Type1,659.142,Nagpur,,,,,,
FDG14,9,Regular,0.05060313,Canned,150.9024,OUT045,2002,Medium,Tier 2,Supermarket Type1,4402.2696,Lucknow,,,,,,
FDZ31,15.35,Regular,0.113195815,Fruits and Vegetables,190.8504,OUT035,2004,Small,Tier 2,Supermarket Type1,3643.2576,Ahmedabad,,,,,,
FDU21,12.6,Regular,0.134327613,Snack Foods,35.0558,OUT019,1985,Small,Tier 1,Grocery Store,33.9558,Delhi,,,,,,
FDC57,20.1,Regular,0.054584207,Fruits and Vegetables,193.382,OUT035,2004,Small,Tier 2,Supermarket Type1,4247.804,Indore,,,,,,
FDU46,10.3,Regular,0.018623146,Snack Foods,87.854,OUT010,1998,Medium,Tier 3,Grocery Store,259.662,Meerut,,,,,,
FDU22,12.35,Low Fat,0.093278912,Snack Foods,118.7124,OUT035,2004,Small,Tier 2,Supermarket Type1,2607.2728,Ahmedabad,,,,,,
DRG23,8.88,Low Fat,0.086957199,Hard Drinks,152.5682,OUT045,2002,Medium,Tier 2,Supermarket Type1,1372.2138,Ahmedabad,,,,,,
FDR23,15.85,Low Fat,0.13689554,Breads,176.437,OUT010,1998,Medium,Tier 3,Grocery Store,529.311,Varanasi,,,,,,
FDI14,14.1,Low Fat,0.090043082,Canned,140.1496,OUT018,2009,Medium,Tier 3,Supermarket Type2,846.8976,Meerut,,,,,,
NCN42,20.25,Low Fat,0.014251461,Household,148.6418,OUT045,2002,Medium,Tier 2,Supermarket Type1,2648.5524,Chandigarh,,,,,,
NCM41,16.5,Low Fat,0.035711426,Health and Hygiene,93.612,OUT049,1999,Medium,Tier 1,Supermarket Type1,1584.604,Hyderabad,,,,,,
FDT55,13.6,Regular,0.043655155,Fruits and Vegetables,156.7946,OUT046,1997,Small,Tier 1,Supermarket Type1,3629.2758,Pune,,,,,,
DRY23,12.6,Regular,0.108568067,Soft Drinks,42.9112,OUT027,1985,Medium,Tier 3,Supermarket Type3,809.6128,Ranchi,,,,,,
FDL46,20.35,Low Fat,0.090480214,Snack Foods,119.5466,OUT010,1998,Medium,Tier 3,Grocery Store,117.8466,Bhopal,,,,,,
FDQ57,7.275,Low Fat,0.027942357,Snack Foods,145.076,OUT035,2004,Small,Tier 2,Supermarket Type1,1611.236,Jaipur,,,,,,
FDQ16,19.7,Low Fat,0.041730507,Frozen Foods,109.2912,OUT035,2004,Small,Tier 2,Supermarket Type1,2402.2064,Chandigarh,,,,,,
FDZ52,12.6,Low Fat,0.099589909,Frozen Foods,109.1886,OUT027,1985,Medium,Tier 3,Supermarket Type3,4225.1668,Guwahati,,,,,,
FDL16,12.6,Low Fat,0.294939214,Frozen Foods,47.106,OUT019,1985,Small,Tier 1,Grocery Store,139.818,Mumbai,,,,,,
NCX18,14.15,Low Fat,0.008829806,Household,196.811,OUT018,2009,Medium,Tier 3,Supermarket Type2,4517.453,Varanasi,,,,,,
FDM34,19,Low Fat,0.067722325,Snack Foods,130.8626,OUT018,2009,Medium,Tier 3,Supermarket Type2,1573.9512,Yamunanagar,,,,,,
FDG60,12.6,Low Fat,0.060405784,Baking Goods,234.5616,OUT027,1985,Medium,Tier 3,Supermarket Type3,6796.4864,Guwahati,,,,,,
NCA06,20.5,Low Fat,0.053930934,Household,37.119,OUT018,2009,Medium,Tier 3,Supermarket Type2,842.237,Guwahati,,,,,,
DRD12,6.96,Low Fat,0.077193561,Soft Drinks,89.9146,OUT046,1997,Small,Tier 1,Supermarket Type1,1277.0044,Pune,,,,,,
FDP04,15.35,Low Fat,0.013869039,Frozen Foods,62.5168,OUT018,2009,Medium,Tier 3,Supermarket Type2,447.4176,Patna,,,,,,
NCH30,17.1,Low Fat,0.067290244,Household,114.586,OUT045,2002,Medium,Tier 2,Supermarket Type1,1584.604,Ahmedabad,,,,,,
FDS04,10.195,Regular,0.146960375,Frozen Foods,142.2838,OUT045,2002,Medium,Tier 2,Supermarket Type1,1685.8056,Nagpur,,,,,,
FDQ13,12.6,Low Fat,0.018632082,Canned,82.9908,OUT019,1985,Small,Tier 1,Grocery Store,503.3448,Bangalore,,,,,,
FDU59,5.78,Low Fat,0.096536082,Breads,162.8552,OUT049,1999,Medium,Tier 1,Supermarket Type1,3574.0144,Delhi,,,,,,
DRG11,6.385,Low Fat,0.084008316,Hard Drinks,108.2596,OUT045,2002,Medium,Tier 2,Supermarket Type1,1186.4556,Indore,,,,,,
FDA36,12.6,Low Fat,0.005638944,Baking Goods,184.9924,OUT027,1985,Medium,Tier 3,Supermarket Type3,3146.5708,Yamunanagar,,,,,,
FDA15,9.3,Low Fat,0.01601936,Dairy,248.5092,OUT035,2004,Small,Tier 2,Supermarket Type1,6474.2392,Chandigarh,,,,,,
FDZ03,13.65,Regular,0.13187274,Dairy,188.024,OUT010,1998,Medium,Tier 3,Grocery Store,745.696,Meerut,,,,,,
FDJ16,9.195,Low Fat,0.114863923,Frozen Foods,59.0246,OUT035,2004,Small,Tier 2,Supermarket Type1,1853.5872,Nagpur,,,,,,
FDZ12,9.17,Low Fat,0.103138922,Baking Goods,141.747,OUT049,1999,Medium,Tier 1,Supermarket Type1,3006.087,Hyderabad,,,,,,
FDH09,12.6,Low Fat,0.056191301,Seafood,53.2982,OUT045,2002,Medium,Tier 2,Supermarket Type1,736.3748,Ahmedabad,,,,,,
FDT13,14.85,Low Fat,0.01867669,Canned,188.7214,OUT017,2007,Medium,Tier 2,Supermarket Type1,3956.8494,Lucknow,,,,,,
FDU20,19.35,Regular,0.021578923,Fruits and Vegetables,120.5098,OUT017,2007,Medium,Tier 2,Supermarket Type1,1807.647,Chandigarh,,,,,,
DRH25,18.7,Low Fat,0.053930934,Soft Drinks,52.2324,OUT035,2004,Small,Tier 2,Supermarket Type1,467.3916,Indore,,,,,,
FDK26,5.46,Regular,0.032242661,Canned,187.624,OUT045,2002,Medium,Tier 2,Supermarket Type1,3542.056,Surat,,,,,,
FDU32,8.785,Low Fat,0.025962714,Fruits and Vegetables,120.9414,OUT035,2004,Small,Tier 2,Supermarket Type1,1949.4624,Nagpur,,,,,,
FDI22,12.6,Low Fat,0.096407554,Snack Foods,210.8612,OUT045,2002,Medium,Tier 2,Supermarket Type1,3344.9792,Nagpur,,,,,,
NCB54,8.76,Low Fat,0.050256604,Health and Hygiene,127.3336,OUT018,2009,Medium,Tier 3,Supermarket Type2,2684.5056,Guwahati,,,,,,
FDX46,12.3,Regular,0.058234621,Snack Foods,58.7562,OUT045,2002,Medium,Tier 2,Supermarket Type1,592.562,Ahmedabad,,,,,,
NCC07,19.6,Low Fat,0.023931217,Household,103.1964,OUT013,1987,High,Tier 3,Supermarket Type1,736.3748,Patna,,,,,,
FDQ34,12.6,Low Fat,0.284065879,Snack Foods,105.5622,OUT019,1985,Small,Tier 1,Grocery Store,211.7244,Delhi,,,,,,
FDM16,8.155,Regular,0.033692089,Frozen Foods,76.2354,OUT018,2009,Medium,Tier 3,Supermarket Type2,1279.0018,Varanasi,,,,,,
FDJ55,12.6,Regular,0.023417004,Meat,223.8404,OUT027,1985,Medium,Tier 3,Supermarket Type3,7201.2928,Patna,,,,,,
DRI01,7.97,Low Fat,0.034647829,Soft Drinks,171.2422,OUT017,2007,Medium,Tier 2,Supermarket Type1,3103.9596,Jaipur,,,,,,
FDD50,18.85,Low Fat,0.142219209,Canned,167.6132,OUT018,2009,Medium,Tier 3,Supermarket Type2,1522.0188,Varanasi,,,,,,
FDJ08,11.1,Low Fat,0.11089655,Fruits and Vegetables,191.5846,OUT045,2002,Medium,Tier 2,Supermarket Type1,2101.9306,Nagpur,,,,,,
NCK18,9.6,Low Fat,0.006708517,Household,164.6184,OUT049,1999,Medium,Tier 1,Supermarket Type1,2972.1312,Pune,,,,,,
FDQ14,9.27,Low Fat,0.103419257,Dairy,148.105,OUT010,1998,Medium,Tier 3,Grocery Store,149.805,Varanasi,,,,,,
FDS51,13.35,Low Fat,0.032180494,Meat,61.2194,OUT046,1997,Small,Tier 1,Supermarket Type1,433.4358,Mumbai,,,,,,
FDA04,11.3,Regular,0.066717378,Frozen Foods,260.8962,OUT035,2004,Small,Tier 2,Supermarket Type1,4920.9278,Chandigarh,,,,,,
FDP10,19,Low Fat,0.128814669,Snack Foods,107.6622,OUT017,2007,Medium,Tier 2,Supermarket Type1,1164.4842,Lucknow,,,,,,
FDT36,12.3,Low Fat,0.111500259,Baking Goods,35.6874,OUT045,2002,Medium,Tier 2,Supermarket Type1,846.8976,Ahmedabad,,,,,,
FDH38,6.425,Low Fat,0.010497273,Canned,118.3808,OUT017,2007,Medium,Tier 2,Supermarket Type1,2812.3392,Nagpur,,,,,,
FDC16,11.5,Regular,0.020653603,Dairy,84.954,OUT018,2009,Medium,Tier 3,Supermarket Type2,865.54,Meerut,,,,,,
FDF17,5.19,Low Fat,0.042687151,Frozen Foods,195.911,OUT049,1999,Medium,Tier 1,Supermarket Type1,2946.165,Pune,,,,,,
FDU23,12.15,Low Fat,0.021705417,Breads,163.5184,OUT013,1987,High,Tier 3,Supermarket Type1,3137.2496,Meerut,,,,,,
FDB34,15.25,Low Fat,0.026651184,Snack Foods,86.6198,OUT049,1999,Medium,Tier 1,Supermarket Type1,1657.1762,Kolkata,,,,,,
FDW26,11.8,Regular,0.106968096,Dairy,221.6772,OUT013,1987,High,Tier 3,Supermarket Type1,3113.2808,Ranchi,,,,,,
FDP45,15.7,Regular,0.030686952,Snack Foods,253.4724,OUT045,2002,Medium,Tier 2,Supermarket Type1,1510.0344,Lucknow,,,,,,
FDD38,16.75,Regular,0.008191729,Canned,103.5674,OUT046,1997,Small,Tier 1,Supermarket Type1,1629.8784,Pune,,,,,,
FDM60,10.8,Regular,0.048218142,Baking Goods,42.2138,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346,Chennai,,,,,,
FDW26,11.8,Regular,0.107036943,Dairy,220.3772,OUT035,2004,Small,Tier 2,Supermarket Type1,4447.544,Jaipur,,,,,,
FDV51,12.6,Low Fat,0.032381325,Meat,166.1842,OUT027,1985,Medium,Tier 3,Supermarket Type3,5470.8786,Bhopal,,,,,,
FDT33,7.81,Regular,0.034043503,Snack Foods,168.7158,OUT049,1999,Medium,Tier 1,Supermarket Type1,2673.8528,Hyderabad,,,,,,
FDQ40,11.1,Regular,0.036027524,Frozen Foods,177.2712,OUT046,1997,Small,Tier 1,Supermarket Type1,3339.6528,Kolkata,,,,,,
FDX40,12.85,Low Fat,0.053930934,Frozen Foods,38.3164,OUT035,2004,Small,Tier 2,Supermarket Type1,502.0132,Nagpur,,,,,,
FDU31,10.5,Regular,0.02498633,Fruits and Vegetables,216.7508,OUT035,2004,Small,Tier 2,Supermarket Type1,3038.7112,Chandigarh,,,,,,
DRJ01,6.135,Low Fat,0.115032406,Soft Drinks,161.0236,OUT046,1997,Small,Tier 1,Supermarket Type1,1288.9888,Kolkata,,,,,,
FDP11,12.6,Low Fat,0.068765925,Breads,216.9166,OUT027,1985,Medium,Tier 3,Supermarket Type3,4354.332,Ranchi,,,,,,
NCN43,12.6,Low Fat,0.006727008,Others,125.173,OUT027,1985,Medium,Tier 3,Supermarket Type3,3202.498,Patna,,,,,,
FDA15,9.3,Low Fat,0.016087659,Dairy,249.6092,OUT018,2009,Medium,Tier 3,Supermarket Type2,5976.2208,Guwahati,,,,,,
FDO04,16.6,Low Fat,0.053930934,Frozen Foods,54.6614,OUT017,2007,Medium,Tier 2,Supermarket Type1,884.1824,Indore,,,,,,
NCF43,8.51,Low Fat,0.051936086,Household,142.947,OUT035,2004,Small,Tier 2,Supermarket Type1,3006.087,Nagpur,,,,,,
NCI17,8.645,Low Fat,0.1442339,Health and Hygiene,95.441,OUT017,2007,Medium,Tier 2,Supermarket Type1,3282.394,Chandigarh,,,,,,
FDY47,8.6,Regular,0.05443912,Breads,128.831,OUT013,1987,High,Tier 3,Supermarket Type1,1038.648,Varanasi,,,,,,
FDF20,12.6,Low Fat,0.033059299,Fruits and Vegetables,196.4768,OUT027,1985,Medium,Tier 3,Supermarket Type3,6306.4576,Patna,,,,,,
NCS53,14.5,Low Fat,0.089778187,Health and Hygiene,158.4604,OUT046,1997,Small,Tier 1,Supermarket Type1,2693.8268,Bangalore,,,,,,
FDK38,6.65,Low Fat,0.053372768,Canned,149.5734,OUT049,1999,Medium,Tier 1,Supermarket Type1,2524.0478,Hyderabad,,,,,,
FDW43,20.1,Regular,0.022406575,Fruits and Vegetables,225.9036,OUT013,1987,High,Tier 3,Supermarket Type1,3643.2576,Yamunanagar,,,,,,
FDV57,15.25,Regular,0.065896556,Snack Foods,179.266,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.128,Hyderabad,,,,,,
FDX26,17.7,Low Fat,0.088305201,Dairy,182.3292,OUT017,2007,Medium,Tier 2,Supermarket Type1,4195.8716,Nagpur,,,,,,
FDR04,7.075,Low Fat,0.022566975,Frozen Foods,97.3068,OUT046,1997,Small,Tier 1,Supermarket Type1,1263.6884,Hyderabad,,,,,,
FDP19,11.5,Low Fat,0.053930934,Fruits and Vegetables,129.3652,OUT013,1987,High,Tier 3,Supermarket Type1,2066.6432,Varanasi,,,,,,
FDT07,5.82,Regular,0.077756427,Fruits and Vegetables,254.533,OUT017,2007,Medium,Tier 2,Supermarket Type1,1281.665,Jaipur,,,,,,
DRB24,8.785,Low Fat,0.020609218,Soft Drinks,155.1656,OUT049,1999,Medium,Tier 1,Supermarket Type1,4016.1056,Pune,,,,,,
FDB36,5.465,Regular,0.053930934,Baking Goods,129.1626,OUT046,1997,Small,Tier 1,Supermarket Type1,3672.5528,Mumbai,,,,,,
NCE07,12.6,Low Fat,0.013066448,Household,140.9154,OUT027,1985,Medium,Tier 3,Supermarket Type3,2127.231,Guwahati,,,,,,
FDI16,12.6,Regular,0.135118202,Frozen Foods,52.564,OUT027,1985,Medium,Tier 3,Supermarket Type3,2290.352,Meerut,,,,,,
FDP45,15.7,Regular,0.030624844,Snack Foods,252.2724,OUT046,1997,Small,Tier 1,Supermarket Type1,1258.362,Bangalore,,,,,,
NCC43,7.39,Low Fat,0.092705683,Household,251.9066,OUT013,1987,High,Tier 3,Supermarket Type1,4267.1122,Guwahati,,,,,,
FDQ23,12.6,Low Fat,0.042941559,Breads,102.9332,OUT019,1985,Small,Tier 1,Grocery Store,102.5332,Mumbai,,,,,,
